contract_id,case_filed_yr,case_filed_month,jurisdiction,zip,assign_atty,case_type_x,settlement_offer,amount_billed,contract_dup,case_type_y,hours_worked
007533X520   ,2013,3,Rhode Island        ,2911,968,5223.0,27000.0,82200.0,False,,
 680 6611P993,2012,3,California          ,95670,651,5219.0,0.0,5700.0,False,5219.0,844.0
005468M360   ,2013,8,New Jersey          ,7054,169,5122.0,348000.0,177600.0,False,,
005468M360   ,2013,8,New Jersey          ,7054,169,5145.0,10000000.0,1700.0,True,,
007390C435   ,2013,10,Massachusetts       ,1830,134,5223.0,1000.0,25500.0,False,,
 680 5A213315,2012,8,California          ,94901,926,5119.0,0.0,20400.0,False,5119.0,8.0
006140M708   ,2013,8,Virginia            ,20165,100,5219.0,0.0,44000.0,False,,
 680 390M207A,2012,8,Maryland            ,20640,620,5121.0,178001000.0,2412100.0,False,5121.0,132.0
007C703991   ,2013,1,Texas               ,75244,100,5213.0,10000000.0,8500.0,False,,
007C703991   ,2013,1,Texas               ,75244,100,5232.0,20000000.0,60400.0,True,,
001D101282   ,2013,4,North Carolina      ,27107,10,5224.0,20000000.0,1400.0,False,,
0035F21343   ,2013,5,South Carolina      ,29439,43,5121.0,2272000.0,530400.0,False,,
0035F21343   ,2013,5,South Carolina      ,29439,43,5122.0,1337000.0,511800.0,True,,
005478L204   ,2013,9,Massachusetts       ,2119,620,5121.0,69198000.0,1593600.0,False,,
005478L204   ,2013,9,Massachusetts       ,2119,620,5223.0,100000000.0,187000.0,True,,
 680 9799C795,2012,1,Connecticut         ,6443,712,5119.0,0.0,24600.0,False,5119.0,18.0
 680 9799C795,2012,1,Connecticut         ,6443,712,5119.0,0.0,24600.0,False,5121.0,37.0
 680 9799C795,2012,1,Connecticut         ,6443,712,5121.0,3480000.0,126800.0,True,5119.0,18.0
 680 9799C795,2012,1,Connecticut         ,6443,712,5121.0,3480000.0,126800.0,True,5121.0,37.0
 680 6428P639,2012,2,Illinois            ,60062,612,5219.0,0.0,8000.0,False,5219.0,23.0
009B164432   ,2013,6,Connecticut         ,6032,612,5223.0,45000.0,641000.0,False,,
 680 4788X916,2012,8,Louisiana           ,71270,712,5219.0,0.0,116600.0,False,5219.0,26.0
 680 1505B550,2012,8,Arkansas            ,72764,755,5119.0,0.0,88900.0,False,5119.0,6.0
006D713331   ,2013,10,North Carolina      ,27560,913,5223.0,37000.0,68700.0,False,,
003D84317A   ,2013,7,Mississippi         ,39301,169,5223.0,2826000.0,1217000.0,False,,
 680 5494L23A,2012,7,West Virginia       ,25177,543,5219.0,0.0,38900.0,False,5219.0,36.0
004571B939   ,2013,9,Pennsylvania        ,19475,543,5121.0,4889000.0,292400.0,False,,
004571B939   ,2013,9,Pennsylvania        ,19475,543,5122.0,384000.0,76100.0,True,,
 680 8806X444,2012,5,New York            ,14072,612,5223.0,58000.0,1318600.0,False,5219.0,1754.0
 680 8806X444,2012,5,New York            ,14072,612,5223.0,58000.0,1318600.0,False,5223.0,1881.0
 680 8806X444,2012,5,New York            ,14072,612,5219.0,0.0,17700.0,True,5219.0,1754.0
 680 8806X444,2012,5,New York            ,14072,612,5219.0,0.0,17700.0,True,5223.0,1881.0
 680 1B729545,2012,8,Virginia            ,20171,756,5119.0,0.0,16600.0,False,5119.0,72.0
00559M4966   ,2013,12,Texas               ,79097,593,5121.0,2675000.0,451200.0,False,,
 680 5115R436,2012,7,West Virginia       ,26104,600,5121.0,163412000.0,2480900.0,False,5121.0,151.0
008B191854   ,2013,5,Michigan            ,49544,100,5219.0,0.0,51300.0,False,,
 680 6B889228,2012,8,Pennsylvania        ,19073,620,5121.0,350000000.0,3239300.0,False,5223.0,370.0
 680 6B889228,2012,8,Pennsylvania        ,19073,620,5121.0,350000000.0,3239300.0,False,5121.0,125.0
 680 6B889228,2012,8,Pennsylvania        ,19073,620,5223.0,103000.0,389300.0,True,5223.0,370.0
 680 6B889228,2012,8,Pennsylvania        ,19073,620,5223.0,103000.0,389300.0,True,5121.0,125.0
 680 1A857142,2012,8,Oregon              ,97128,712,5121.0,16503000.0,106400.0,False,5121.0,44.0
 680 7A084281,2012,8,Illinois            ,60440,712,5219.0,0.0,322800.0,False,5219.0,4699.0
005C447461   ,2013,12,Texas               ,78258,169,5122.0,208000.0,67800.0,False,,
 680 1021X724,2012,8,Illinois            ,60005,712,5219.0,0.0,64900.0,False,5219.0,52.0
 680 4925L766,2012,6,New Jersey          ,7068,651,5119.0,0.0,28600.0,False,5119.0,300.0
006C878848   ,2013,1,New York            ,11753,612,5122.0,1365000.0,77200.0,False,,
002342R781   ,2013,6,North Carolina      ,27406,169,5122.0,273000.0,37600.0,False,,
009A504343   ,2013,12,Illinois            ,60422,719,5122.0,2163000.0,280300.0,False,,
008318R221   ,2013,8,Illinois            ,60622,612,5145.0,10000000.0,18200.0,False,,
008318R221   ,2013,8,Illinois            ,60622,612,5121.0,11197000.0,458400.0,True,,
 PACP8270L029,2012,8,Texas               ,75206,926,5132.0,0.0,1795700.0,False,5102.0,14.0
 PACP8270L029,2012,8,Texas               ,75206,926,5132.0,0.0,1795700.0,False,5132.0,98.0
 680 567M2069,2012,8,Oregon              ,97222,719,5219.0,0.0,141800.0,False,5219.0,100.0
004652B881   ,2013,9,Massachusetts       ,1834,924,5223.0,29000.0,65100.0,False,,
 680 4439R931,2012,8,Oregon              ,97504,651,5119.0,0.0,63400.0,False,5119.0,1.0
 PACP2B996031,2012,2,Texas               ,77008,60,5122.0,0.0,175900.0,False,5122.0,22.0
0035F94199   ,2013,5,Utah                ,84321,665,5121.0,4258000.0,28400.0,False,,
001591W215   ,2013,4,North Carolina      ,28226,620,5223.0,320000000.0,366300.0,False,,
001591W215   ,2013,4,North Carolina      ,28226,620,5121.0,470571000.0,4582700.0,True,,
 PACP2B824325,2012,1,Texas               ,75243,712,5233.0,0.0,114800.0,False,5233.0,1.0
 PACP9789C114,2012,2,Texas               ,77833,712,5233.0,0.0,108000.0,False,5233.0,16.0
005A78327A   ,2013,8,South Carolina      ,29325,597,5121.0,9096000.0,209400.0,False,,
005271L475   ,2013,7,New Mexico          ,87102,169,5122.0,1384000.0,265200.0,False,,
 680 3316X313,2012,8,Illinois            ,60181,572,5219.0,0.0,29000.0,False,5219.0,727.0
